title,notes,tags,header,organization,dataset_source,geodata,country,tag_list,doc,All_text
somalia demographic health education transport indicators,urban indicators data available here analyzed compiled published habitat global urban observatory which supports governments local authorities civil society organizations develop urban indicators data statistics urban statistics collected through household surveys censuses conducted national statistics authorities global urban observatory team analyses compiles urban indicators statistics from surveys censuses additionally local urban observatories collect compile analyze urban data national policy development population statistics produced united nations department economic social affairs world urbanization prospects,education health population transport,category indicator indicator friendly type data latitude longitude region id country id name year value,global urban observatory helps cities bird view their situation their needs using geographical information systems technology helps cities bird view their situation their needs photograph city from space magnify look streets area then send survey teams fill blanks from streets many people live there many have access water sanitation roads need repair many people have aids malaria which slums most overcrowded armed with answers such questions easier cheaper bring improvements information gathered researched provides database statistics indicators state urban development around world information provided enables habitat monitor implementation target millennium development goals significantly improve lives million slum dwellers year united nations human settlement programmes global urban observatory,unhabitat,,somalia,"['education', 'health', 'hxl', 'population', 'transport']",somalia demographic health education transport indicators category indicator indicator friendly type data latitude longitude region id country id name year value global urban observatory helps cities bird view their situation their needs using geographical information systems technology helps cities bird view their situation their needs photograph city from space magnify look streets area then send survey teams fill blanks from streets many people live there many have access water sanitation roads need repair many people have aids malaria which slums most overcrowded armed with answers such questions easier cheaper bring improvements information gathered researched provides database statistics indicators state urban development around world information provided enables habitat monitor implementation target millennium development goals significantly improve lives million slum dwellers year united nations human settlement programmes global urban observatory urban indicators data available here analyzed compiled published habitat global urban observatory which supports governments local authorities civil society organizations develop urban indicators data statistics urban statistics collected through household surveys censuses conducted national statistics authorities global urban observatory team analyses compiles urban indicators statistics from surveys censuses additionally local urban observatories collect compile analyze urban data national policy development population statistics produced united nations department economic social affairs world urbanization prospects somalia ,somalia demographic health education transport indicators category indicator indicator friendly type data latitude longitude region id country id name year value global urban observatory helps cities bird view their situation their needs using geographical information systems technology helps cities bird view their situation their needs photograph city from space magnify look streets area then send survey teams fill blanks from streets many people live there many have access water sanitation roads need repair many people have aids malaria which slums most overcrowded armed with answers such questions easier cheaper bring improvements information gathered researched provides database statistics indicators state urban development around world information provided enables habitat monitor implementation target millennium development goals significantly improve lives million slum dwellers year united nations human settlement programmes global urban observatory urban indicators data available here analyzed compiled published habitat global urban observatory which supports governments local authorities civil society organizations develop urban indicators data statistics urban statistics collected through household surveys censuses conducted national statistics authorities global urban observatory team analyses compiles urban indicators statistics from surveys censuses additionally local urban observatories collect compile analyze urban data national policy development population statistics produced united nations department economic social affairs world urbanization prospects somalia 
indonesia education facilities,indonesia education facilities elementary junior vocational senior high school,education education facilities indonesia point school,,description ocha regional office asia pacific created t title ocha roap name ocha roap is organization true state active image url revision id de a ac c b bfbd e ec type organization ed c fc b afca bcc d approval status approved,indonesia ministry education,geodata,indonesia,"['education', 'education facilities', 'indonesia', 'point', 'school']",indonesia education facilities  description ocha regional office asia pacific created t title ocha roap name ocha roap is organization true state active image url revision id de a ac c b bfbd e ec type organization ed c fc b afca bcc d approval status approved indonesia education facilities elementary junior vocational senior high school indonesia geodata,indonesia education facilities  description ocha regional office asia pacific created t title ocha roap name ocha roap is organization true state active image url revision id de a ac c b bfbd e ec type organization ed c fc b afca bcc d approval status approved indonesia education facilities elementary junior vocational senior high school indonesia geodata
yemen education cluster,education education cluster yemen,education,gov pcode governorate unnamed district code districts dist code unnamed unnamed unnamed unnamed january unnamed activity activity column unnamed activity unnamed schools unnamed,description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved,education cluster partners yemen,,yemen,"['4w', 'education']",yemen education cluster gov pcode governorate unnamed district code districts dist code unnamed unnamed unnamed unnamed january unnamed activity activity column unnamed activity unnamed schools unnamed description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved education education cluster yemen yemen ,yemen education cluster gov pcode governorate unnamed district code districts dist code unnamed unnamed unnamed unnamed january unnamed activity activity column unnamed activity unnamed schools unnamed description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved education education cluster yemen yemen 
yemen education cluster,education yemen education cluster,education,gov pcode governorate unnamed district code districts dist code unnamed unnamed unnamed unnamed january unnamed activity activity column unnamed activity unnamed schools unnamed,description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved,yemen education cluster partners,,yemen,['education'],yemen education cluster gov pcode governorate unnamed district code districts dist code unnamed unnamed unnamed unnamed january unnamed activity activity column unnamed activity unnamed schools unnamed description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved education yemen education cluster yemen ,yemen education cluster gov pcode governorate unnamed district code districts dist code unnamed unnamed unnamed unnamed january unnamed activity activity column unnamed activity unnamed schools unnamed description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved education yemen education cluster yemen 
hotosm dominica schools,openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information,dominica education openstreetmap schools,,description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved,openstreetmap contributors,geodata,dominica,"['dominica', 'education', 'openstreetmap', 'osm', 'schools']",hotosm dominica schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information dominica geodata,hotosm dominica schools  description ocha regional office latin america caribbean created t title ocha rolac name ocha rolac is organization true state active image url revision id e f d f a f b e b type organization f a ec b d a d f a approval status approved openstreetmap exports applications this theme includes openstreetmap features this area matching amenity kindergarten school college university language school office educational institution features have these attributes name amenity isced level capacity geometry types point polygon this dataset many openstreetmap exports humanitarian openstreetmap team website more information dominica geodata
state palestine west bank schools,schools west bank,education palestine schools west bank,,description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved,palestinian authority ministry education,geodata,state palestine,"['education', 'palestine', 'schools', 'west bank']",state palestine west bank schools  description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved schools west bank state palestine geodata,state palestine west bank schools  description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved schools west bank state palestine geodata
state palestine gaza strip schools,state palestine gaza strip schools,education gaza strip palestine schools,,description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved,palestinian authority ministry education,geodata,state palestine,"['education', 'gaza strip', 'palestine', 'schools']",state palestine gaza strip schools  description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved state palestine gaza strip schools state palestine geodata,state palestine gaza strip schools  description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved state palestine gaza strip schools state palestine geodata
state palestine school districts,state palestine school districts,directorate districts education gaza strip palestine school west bank,,description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved,palestinian authority ministry education,geodata,state palestine,"['directorate', 'districts', 'education', 'gaza strip', 'palestine', 'school', 'west bank']",state palestine school districts  description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved state palestine school districts state palestine geodata,state palestine school districts  description ocha office created t title ocha name ocha is organization true state active image url revision id f e b ee a b b d type organization fddc b f e approval status approved state palestine school districts state palestine geodata
educate child project data,data targeted actual enrolment school children through partnerships with educate child projects years,education education emergencies school children,name project implementing partner country school children targeted school actual enrolment project start date project duration months project date project status notes,description global education foundation established highness sheikha moza bint nasser foundation envisions bringing hope real opportunity lives impoverished marginalized children youth women especially developing world difficult circumstances such conflict situations natural disasters believes that education single most effective means reducing poverty generating economic growth creating peaceful just societies well fundamental right children essential condition achieving sustainable development goals sdgs nwith that mind foundation aims enable human development through provision inclusive unbiased quality education foundation current member unesco education steering committee which keeping with foundation core founding principle makes recommendations achieve quality education more information visit educationaboveall created t title education above foundation name is organization true state active image url revision id cf d a a e e a f type organization c e c b d f a d c c approval status approved,education above,,world,"['education', 'education in emergencies', 'out of school children']",educate child project data name project implementing partner country school children targeted school actual enrolment project start date project duration months project date project status notes description global education foundation established highness sheikha moza bint nasser foundation envisions bringing hope real opportunity lives impoverished marginalized children youth women especially developing world difficult circumstances such conflict situations natural disasters believes that education single most effective means reducing poverty generating economic growth creating peaceful just societies well fundamental right children essential condition achieving sustainable development goals sdgs nwith that mind foundation aims enable human development through provision inclusive unbiased quality education foundation current member unesco education steering committee which keeping with foundation core founding principle makes recommendations achieve quality education more information visit educationaboveall created t title education above foundation name is organization true state active image url revision id cf d a a e e a f type organization c e c b d f a d c c approval status approved data targeted actual enrolment school children through partnerships with educate child projects years world ,educate child project data name project implementing partner country school children targeted school actual enrolment project start date project duration months project date project status notes description global education foundation established highness sheikha moza bint nasser foundation envisions bringing hope real opportunity lives impoverished marginalized children youth women especially developing world difficult circumstances such conflict situations natural disasters believes that education single most effective means reducing poverty generating economic growth creating peaceful just societies well fundamental right children essential condition achieving sustainable development goals sdgs nwith that mind foundation aims enable human development through provision inclusive unbiased quality education foundation current member unesco education steering committee which keeping with foundation core founding principle makes recommendations achieve quality education more information visit educationaboveall created t title education above foundation name is organization true state active image url revision id cf d a a e e a f type organization c e c b d f a d c c approval status approved data targeted actual enrolment school children through partnerships with educate child projects years world 
affected schools yemen,this dataset contains location affected schools village district governorate level includes number students gender state damage school affected status cause damage damage description among other variables,conflict education gender sadd,labels,description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved,ministry education yemen,,yemen,"['conflict', 'education', 'gender', 'hxl', 'sadd']",affected schools yemen labels description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved this dataset contains location affected schools village district governorate level includes number students gender state damage school affected status cause damage damage description among other variables yemen ,affected schools yemen labels description education cluster yemen created t title education cluster yemen name education cluster yemen is organization true state active image url revision id ff bc b b aa e f fb type organization c c d b d d e f c beaa approval status approved this dataset contains location affected schools village district governorate level includes number students gender state damage school affected status cause damage damage description among other variables yemen 
