archived,author,author_email,batch,caveats,creator_user_id,customviz,data_update_frequency,dataset_date,dataset_preview,dataset_source,field_names,file_types,groups,has_geodata,has_quickcharts,has_showcases,package_id,indicator,is_requestdata_type,isopen,last_modified,license_id,license_other,license_title,license_url,maintainer,maintainer_email,metadata_created,metadata_modified,methodology,methodology_other,name,notes,num_of_rows,num_resources,num_tags,organization,owner_org,package_creator,pageviews_last_14_days,private,quality,relationships_as_object,relationships_as_subject,resources,revision_id,solr_additions,state,subnational,tags,title,total_res_downloads,type,url_x,version,id,url_y,date,format,header
False,unhabitat-guo,,,Read more at http://urbandata.unhabitat.org/aboutourdata-termsofuse/,a410b53c-3466-4517-a7d7-bedd76aa258b,,-2,01/01/1950-12/31/2050,first_resource,UNHABITAT,,,"[{'display_name': 'Somalia', 'description': '', 'image_display_url': '', 'title': 'Somalia', 'id': 'som', 'name': 'som'}]",False,True,True,f14bffcb-bd5d-46f6-87d5-04c399dcaacd,,False,False,2018-09-26T17:07:37.648588,cc-by-igo,,Creative Commons Attribution for Intergovernmental Organisations,http://creativecommons.org/licenses/by/3.0/igo/legalcode,a410b53c-3466-4517-a7d7-bedd76aa258b,ndongamadou@gmail.com,2018-09-26T17:05:14.359531,2019-07-30T10:19:51.830461,Other,"Urban statistics are collected through household surveys and censuses conducted by national statistics authorities. Global Urban Observatory team analyses and compiles urban indicators statistics from surveys and censuses.  Additionally, Local urban observatories  collect, compile and analyze urban data for national policy development. Population statistics are produced by the United Nations Department of Economic and Social Affairs, World Urbanization Prospects.",unhabitat-so-indicators,"The urban indicators data available here are analyzed, compiled and published by UN-Habitat’s Global Urban Observatory which supports governments, local authorities and civil society organizations to develop urban indicators, data and statistics. Urban statistics are collected through household surveys and censuses conducted by national statistics authorities. Global Urban Observatory team analyses and compiles urban indicators statistics from surveys and censuses.  Additionally, Local urban observatories  collect, compile and analyze urban data for national policy development. Population statistics are produced by the United Nations Department of Economic and Social Affairs, World Urbanization Prospects.",,1,5,"{'description': 'The Global Urban Observatory (GUO) helps cities get a bird’s eye view of their situation and their needs. Using Geographical Information Systems (GIS) technology, it helps cities get a bird’s eye view of their situation and their needs. Photograph a city from space, magnify it, look at a few streets in any area, and then send in survey teams to fill in the blanks from the streets up – how many people live there? How many have access to water and sanitation? Are the roads in need of repair? How many people have AIDS or malaria? Which slums are the most overcrowded? Armed with answers to such questions it is far easier and cheaper to bring improvements.  The information gathered and researched provides a database of statistics and indicators on the state of urban development around the world.  The information provided enables UN-HABITAT to monitor implementation of target 11 of the Millennium Development Goals (MDG) to significantly improve the lives of 100 million slum dwellers by the year 2020.', 'created': '2015-06-15T14:07:35.687803', 'title': 'United Nations Human Settlement Programmes, Global Urban Observatory', 'name': 'unhabitat-guo', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '05a66ac7-ba45-4e64-bc77-bb7ceef012f5', 'type': 'organization', 'id': '58202bf8-bcac-4c08-aa9c-1762057a133d', 'approval_status': 'approved'}",58202bf8-bcac-4c08-aa9c-1762057a133d,hdx-amadou,3,False,,[],[],,03076aa2-5c6d-4613-8d5c-e6996bfb6aec,"{""countries"": [""Somalia""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'health', 'id': 'cfc3fb43-78a5-45e0-8bac-fbb81d00d211', 'name': 'health'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'hxl', 'id': '5f985f56-ee63-40a7-9052-fd53269737ff', 'name': 'hxl'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'population', 'id': '4db88e1c-e769-419f-944a-ac969e4c946f', 'name': 'population'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'transport', 'id': '2faa866e-f8f9-4adc-a388-56b31e22414b', 'name': 'transport'}]","Somalia - Demographic, Health, Education and Transport indicators",80,dataset,,,8cdc91ac-150d-4840-bc5b-6d8992d28389,http://data.humdata.org/dataset/f14bffcb-bd5d-46f6-87d5-04c399dcaacd/resource/8cdc91ac-150d-4840-bc5b-6d8992d28389/download/indicator_data_so.csv,2018,CSV,category indicator indicator_friendly type_data latitude longitude region_id country_id name year value
False,,,,Data source: http://spasial.data.kemdikbud.go.id/index.php/cpetasebaran/sekolah/000000/1/,a303cd25-2073-4c72-9b22-7a2d61ff797a,,-2,06/01/2015,resource_id,Indonesia Ministry of Education (2015),,,"[{'display_name': 'Indonesia', 'description': '', 'image_display_url': '', 'title': 'Indonesia', 'id': 'idn', 'name': 'idn'}]",True,False,False,9f1f1a57-b863-4e19-a0ab-a0e06d91f1d3,,False,True,2019-07-26T07:22:31.602578,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,a303cd25-2073-4c72-9b22-7a2d61ff797a,thamrinf@gmail.com,2019-07-26T07:21:07.363674,2019-07-26T07:27:35.836971,Registry,,indonesia-education-facilities,"Indonesia - Education facilities (Elementary, Junior, Vocational and Senior High School)",,1,5,"{'description': ""OCHA's Regional Office for Asia and the Pacific"", 'created': '2015-03-04T22:55:29.366235', 'title': 'OCHA ROAP', 'name': 'ocha-roap', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '4de1a583-4ac4-4c00-b532-41bfbd62e4ec', 'type': 'organization', 'id': 'ed366c60-6fc7-43b5-afca-288075bcc4d2', 'approval_status': 'approved'}",ed366c60-6fc7-43b5-afca-288075bcc4d2,hdx-faizal,5,False,,[],[],,3022e163-c9bf-4049-b25c-5a88e53d99ac,"{""countries"": [""Indonesia""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'education facilities', 'id': '6075fdac-1840-4671-ab1b-2860bda13f63', 'name': 'education facilities'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'indonesia', 'id': '619fb73c-751c-451a-9437-2030000780f3', 'name': 'indonesia'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'point', 'id': '11850daa-2404-4ccf-abc6-315fad94ae0e', 'name': 'point'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'school', 'id': '68aacf25-5477-4d17-bb2d-3b9c7596cce3', 'name': 'school'}]",Indonesia - Education Facilities,10,dataset,,,ccb4ed2c-2340-43d0-a99f-729aac77a6d7,http://data.humdata.org/dataset/9f1f1a57-b863-4e19-a0ab-a0e06d91f1d3/resource/ccb4ed2c-2340-43d0-a99f-729aac77a6d7/download/idn_school_facilities.zip,2019,zipped shapefile,
False,,,,,1af0e689-2e54-4ae9-a4f7-fec4c908a3c2,,-2,01/01/2018-12/31/2019,first_resource,Education Cluster Partners in Yemen,,,"[{'display_name': 'Yemen', 'description': '', 'image_display_url': '', 'title': 'Yemen', 'id': 'yem', 'name': 'yem'}]",False,False,True,678e2b3d-c3ff-43bc-a391-c22d1b4d44a1,,False,True,2019-07-24T10:19:54.323472,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,1af0e689-2e54-4ae9-a4f7-fec4c908a3c2,elliot.a.mcbride@gmail.com,2019-07-24T10:19:47.069060,2019-07-25T02:48:32.060357,Census,,yemen-education-cluster-5w,Education 4W for the Education Cluster in Yemen,,1,2,"{'description': 'Education Cluster in Yemen', 'created': '2018-07-24T09:16:01.680357', 'title': 'Education Cluster Yemen', 'name': 'education-cluster-yemen', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '47ff19bc-984b-470b-aa88-7e9f68417fb4', 'type': 'organization', 'id': '869c999c-d6b4-45d3-821d-e2f0c45beaa7', 'approval_status': 'approved'}",869c999c-d6b4-45d3-821d-e2f0c45beaa7,hdx_emcbride09,6,False,,[],[],,f6229c48-d3c4-41b2-9797-7e4461932185,"{""countries"": [""Yemen""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': '4w', 'id': 'a0e3a59f-b6b9-443b-9f10-63344c9c48ea', 'name': '4w'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}]",Yemen Education Cluster 4W 2018,25,dataset,,,2a7823b7-eaad-4c29-a20d-2e1088404272,http://data.humdata.org/dataset/678e2b3d-c3ff-43bc-a391-c22d1b4d44a1/resource/2a7823b7-eaad-4c29-a20d-2e1088404272/download/education-cluster-activities-dataset-consolidated-2018.xlsx,2019,XLSX,gov_pcode governorate unnamed: 2 gov district code districts dist_code unnamed: 7 unnamed: 8 unnamed: 9 unnamed: 10 january - يناير unnamed: 12 activity activity column unnamed: 15 sub-activity unnamed: 17 schools unnamed: 19 yes نعم
False,,,,,1af0e689-2e54-4ae9-a4f7-fec4c908a3c2,,-2,01/01/2019-12/31/2019,first_resource,Yemen Education Cluster Partners,,,"[{'display_name': 'Yemen', 'description': '', 'image_display_url': '', 'title': 'Yemen', 'id': 'yem', 'name': 'yem'}]",False,False,True,a961da0f-fdc1-46e3-bb6f-594f2319e9ff,,False,True,2019-07-24T10:34:30.351036,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,1af0e689-2e54-4ae9-a4f7-fec4c908a3c2,elliot.a.mcbride@gmail.com,2019-07-24T10:34:21.830495,2019-07-24T21:13:13.819509,Census,,yemen-education-cluster-5w-2019,Education 4W for the Yemen Education Cluster in 2019,,1,1,"{'description': 'Education Cluster in Yemen', 'created': '2018-07-24T09:16:01.680357', 'title': 'Education Cluster Yemen', 'name': 'education-cluster-yemen', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '47ff19bc-984b-470b-aa88-7e9f68417fb4', 'type': 'organization', 'id': '869c999c-d6b4-45d3-821d-e2f0c45beaa7', 'approval_status': 'approved'}",869c999c-d6b4-45d3-821d-e2f0c45beaa7,hdx_emcbride09,11,False,,[],[],,94b375cf-2a52-4a6f-8932-ee60bae8be9d,"{""countries"": [""Yemen""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}]",Yemen Education Cluster 4W 2019,75,dataset,,,29dd1c53-b1e7-4756-b782-09d389b422ed,http://data.humdata.org/dataset/a961da0f-fdc1-46e3-bb6f-594f2319e9ff/resource/29dd1c53-b1e7-4756-b782-09d389b422ed/download/education-cluster-activities-dataset-consolidated-2019.xlsx,2019,XLSX,gov_pcode governorate unnamed: 2 gov district code districts dist_code unnamed: 7 unnamed: 8 unnamed: 9 unnamed: 10 january - يناير unnamed: 12 activity activity column unnamed: 15 sub-activity unnamed: 17 schools unnamed: 19 yes نعم
False,,,,,6331f614-559b-4a1c-99c1-ae50dbeb64f2,,365,07/24/2019,first_resource,OpenStreetMap contributors,,,"[{'display_name': 'Dominica', 'description': '', 'image_display_url': '', 'title': 'Dominica', 'id': 'dma', 'name': 'dma'}]",True,False,False,19ffdfe5-ded6-4310-b5f2-481a98c96a5c,,False,False,2019-07-24T19:53:24.555299,hdx-odc-odbl,,Open Database License (ODC-ODbL),,6331f614-559b-4a1c-99c1-ae50dbeb64f2,anila.qehaja@un.org,2019-07-24T19:52:31.692853,2019-07-24T19:53:24.913845,Other,Volunteered geographic information,hotosm-dominica-schools,"OpenStreetMap exports for use in GIS applications.

This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'

Features may have these attributes: name, amenity, isced:level, capacity

Geometry types: point, polygon

This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",,2,5,"{'description': 'OCHA Regional Office for Latin America and the Caribbean', 'created': '2015-06-04T15:21:29.568082', 'title': 'OCHA ROLAC', 'name': 'ocha-rolac', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '0e643f3d-f82a-4291-929f-b5459e44b818', 'type': 'organization', 'id': '2f5a7ec0-b7d2-4436-a334-4d09488f1a17', 'approval_status': 'approved'}",2f5a7ec0-b7d2-4436-a334-4d09488f1a17,anilaq,1,False,,[],[],,f28d3a37-c901-4c57-9830-ec4e6427f727,"{""countries"": [""Dominica""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'dominica', 'id': 'cd2b1937-3e4b-44d4-9f94-f0944eda0718', 'name': 'dominica'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'openstreetmap', 'id': 'd3c99695-a051-4cbf-81e0-8a052721db1d', 'name': 'openstreetmap'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'osm', 'id': 'c85bedb3-b486-48bd-a438-c81ecc478a15', 'name': 'osm'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'schools', 'id': 'c4017261-6777-4d89-9306-ba37e2f3b4fc', 'name': 'schools'}]",HOTOSM Dominica Schools,12,dataset,,,7b9b74b1-e1a2-4ce2-bd14-2913430abcd0,http://data.humdata.org/dataset/19ffdfe5-ded6-4310-b5f2-481a98c96a5c/resource/7b9b74b1-e1a2-4ce2-bd14-2913430abcd0/download/dma_schools_shp.zip,2019,zipped shapefile,
False,,,,,411a0278-1714-4594-9121-42ad36ae8f7d,,-2,06/01/2015,first_resource,Palestinian Authority - Ministry of Education,,,"[{'display_name': 'State of Palestine', 'description': '', 'image_display_url': '', 'title': 'State of Palestine', 'id': 'pse', 'name': 'pse'}]",True,False,False,0306a338-951c-45ec-a9b1-184a0f099d05,,False,True,2019-07-22T11:02:01.518828,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,411a0278-1714-4594-9121-42ad36ae8f7d,yaghmour@un.org,2019-07-22T11:02:00.143109,2019-07-22T11:04:57.728704,Other,Palestinian Authority - Ministry of Education,state-of-palestine-west-bank-schools,schools in the West Bank,,1,4,"{'description': 'UN OCHA office in oPt', 'created': '2015-11-06T17:19:45.125805', 'title': 'OCHA oPt', 'name': 'ocha-opt', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '2361f763-e826-4b34-8ee1-6a7b3b257d17', 'type': 'organization', 'id': '1fddc052-2031-4365-8342-49b18f0e3307', 'approval_status': 'approved'}",1fddc052-2031-4365-8342-49b18f0e3307,yaghmour,2,False,,[],[],,ebfc1701-ad9b-44b0-afdf-a9646a3f543c,"{""countries"": [""State of Palestine""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'palestine', 'id': '93be304e-b0b9-417e-b52c-01242d805260', 'name': 'palestine'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'schools', 'id': 'c4017261-6777-4d89-9306-ba37e2f3b4fc', 'name': 'schools'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'west bank', 'id': '216b484e-8872-4098-8271-3301117e4ce9', 'name': 'west bank'}]",State of Palestine - West Bank schools,6,dataset,,,61d4145d-0330-4135-bd53-8a3eec4c6e23,http://data.humdata.org/dataset/0306a338-951c-45ec-a9b1-184a0f099d05/resource/61d4145d-0330-4135-bd53-8a3eec4c6e23/download/schools_wb.zip,2019,zipped shapefile,
False,,,,,411a0278-1714-4594-9121-42ad36ae8f7d,,-2,06/01/2015,first_resource,Palestinian Authority - Ministry of Education,,,"[{'display_name': 'State of Palestine', 'description': '', 'image_display_url': '', 'title': 'State of Palestine', 'id': 'pse', 'name': 'pse'}]",True,False,False,cc5d16e4-ecf6-4f5b-8742-62db09d019e7,,False,True,2019-07-22T10:58:54.172851,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,411a0278-1714-4594-9121-42ad36ae8f7d,yaghmour@un.org,2019-07-22T10:58:53.140777,2019-07-22T10:58:56.838907,Other,Palestinian Authority - Ministry of Education,state-of-palestine-gaza-strip-schools,State of Palestine - Gaza Strip schools,,1,4,"{'description': 'UN OCHA office in oPt', 'created': '2015-11-06T17:19:45.125805', 'title': 'OCHA oPt', 'name': 'ocha-opt', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '2361f763-e826-4b34-8ee1-6a7b3b257d17', 'type': 'organization', 'id': '1fddc052-2031-4365-8342-49b18f0e3307', 'approval_status': 'approved'}",1fddc052-2031-4365-8342-49b18f0e3307,yaghmour,2,False,,[],[],,7569cebe-64cb-4d13-9771-10a170b0ec22,"{""countries"": [""State of Palestine""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'gaza strip', 'id': 'a594f13d-3ff5-4fe8-993a-90d0a7ad636b', 'name': 'gaza strip'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'palestine', 'id': '93be304e-b0b9-417e-b52c-01242d805260', 'name': 'palestine'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'schools', 'id': 'c4017261-6777-4d89-9306-ba37e2f3b4fc', 'name': 'schools'}]",State of Palestine - Gaza Strip schools,6,dataset,,,e7910f49-a0c1-4df5-9e67-7d09e7662063,http://data.humdata.org/dataset/cc5d16e4-ecf6-4f5b-8742-62db09d019e7/resource/e7910f49-a0c1-4df5-9e67-7d09e7662063/download/schools_gs.zip,2019,zipped shapefile,
False,,,,,411a0278-1714-4594-9121-42ad36ae8f7d,,-2,06/01/2015,first_resource,"Palestinian Authority, Ministry of Education",,,"[{'display_name': 'State of Palestine', 'description': '', 'image_display_url': '', 'title': 'State of Palestine', 'id': 'pse', 'name': 'pse'}]",True,False,False,f5543780-58d8-4468-982b-efd67bcea800,,False,True,2019-07-22T10:53:51.155898,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,411a0278-1714-4594-9121-42ad36ae8f7d,yaghmour@un.org,2019-07-22T10:53:46.774995,2019-07-22T10:53:54.011608,Other,"Palestinian Authority, Ministry of Education",state-of-palestine-school-districts,State of Palestine - school districts,,1,7,"{'description': 'UN OCHA office in oPt', 'created': '2015-11-06T17:19:45.125805', 'title': 'OCHA oPt', 'name': 'ocha-opt', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '2361f763-e826-4b34-8ee1-6a7b3b257d17', 'type': 'organization', 'id': '1fddc052-2031-4365-8342-49b18f0e3307', 'approval_status': 'approved'}",1fddc052-2031-4365-8342-49b18f0e3307,yaghmour,1,False,,[],[],,92795153-9eb2-458d-859e-c805f6a8726c,"{""countries"": [""State of Palestine""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'directorate', 'id': 'bf0bcb73-432b-4d0d-bf47-867d0d9e81d6', 'name': 'directorate'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'districts', 'id': '916bdfb4-c3c6-4f11-bb92-77a1f504e5ee', 'name': 'districts'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'gaza strip', 'id': 'a594f13d-3ff5-4fe8-993a-90d0a7ad636b', 'name': 'gaza strip'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'palestine', 'id': '93be304e-b0b9-417e-b52c-01242d805260', 'name': 'palestine'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'school', 'id': '68aacf25-5477-4d17-bb2d-3b9c7596cce3', 'name': 'school'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'west bank', 'id': '216b484e-8872-4098-8271-3301117e4ce9', 'name': 'west bank'}]",State of Palestine - school districts,6,dataset,,,093ee5a2-ea74-484f-95bc-3940a058ac5a,http://data.humdata.org/dataset/f5543780-58d8-4468-982b-efd67bcea800/resource/093ee5a2-ea74-484f-95bc-3940a058ac5a/download/school_districts.zip,2019,zipped shapefile,
False,,,,Enrolment figures are targets for ongoing projects and actual numbers for completed projects.,1af0e689-2e54-4ae9-a4f7-fec4c908a3c2,,-2,01/01/2012-12/31/2018,no_preview,Education Above All,,,"[{'display_name': 'World', 'description': '', 'image_display_url': '', 'title': 'World', 'id': 'world', 'name': 'world'}]",False,False,False,18b45f54-fd05-4210-8ac6-afe73ffd1c9b,,False,True,2019-07-17T22:01:04.289291,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,1af0e689-2e54-4ae9-a4f7-fec4c908a3c2,elliot.a.mcbride@gmail.com,2018-12-24T14:02:53.026943,2019-07-18T00:37:18.004895,Other,Programme monitoring results,eacallprojects,Data on targeted and/or actual enrolment of out of school children through partnerships with Educate A Child projects for the years of 2012 - 2018.  ,,1,3,"{'description': 'EAA is a global education foundation established in 2012 by Her Highness Sheikha Moza bint Nasser. The Foundation envisions bringing hope and real opportunity to the lives of impoverished and marginalized children, youth and women, especially in the developing world and in difficult circumstances such as conflict situations and natural disasters. It believes that education is the single most effective means of reducing poverty, generating economic growth and creating peaceful and just societies, as well as a fundamental right for all children and an essential condition to achieving the Sustainable Development Goals (SDGs).\r\n\r\nWith that in mind, the EAA Foundation aims to enable human development through the provision of inclusive and unbiased quality education. The Foundation is a current member of the UNESCO SDG-Education 2030 Steering Committee, which – in keeping with EAA Foundation’s core and founding principle – makes recommendations on how to achieve quality education for all. For more information, visit educationaboveall.org', 'created': '2018-12-24T13:33:02.263995', 'title': 'Education Above All Foundation', 'name': 'eaa', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '7cf534d0-a6a5-46e9-85e8-731893a1409f', 'type': 'organization', 'id': 'c9e11c2b-115d-4f02-8664-a5d9460c446c', 'approval_status': 'approved'}",c9e11c2b-115d-4f02-8664-a5d9460c446c,hdx_emcbride09,0,False,1,[],[],,fc1c9c38-1d33-47a8-b58c-765235c7c671,"{""countries"": [""World""]}",active,0,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'education in emergencies', 'id': '5b256888-5fec-45b1-a018-5f6bf47091f3', 'name': 'education in emergencies'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'out of school children', 'id': 'cdc564db-91a8-468b-9a8c-654018e1b565', 'name': 'out of school children'}]",Educate A Child (EAC) Project Data for 2012 – 2018,95,dataset,,,cf0e8c85-e365-40f6-a7ab-58e98ad31e44,http://data.humdata.org/dataset/18b45f54-fd05-4210-8ac6-afe73ffd1c9b/resource/cf0e8c85-e365-40f6-a7ab-58e98ad31e44/download/educate-a-child-eac-project-data-for-2012-2018-.csv,2018,CSV,name of project implementing partner country out-of-school children targeted out-of-school-actual-enrolment project start date project duration in months project end date project status notes
False,,,,,23b4c749-bd1b-499c-a8f1-8d76240a534d,,365,09/30/2017,resource_id,Ministry of Education (Yemen),,,"[{'display_name': 'Yemen', 'description': '', 'image_display_url': '', 'title': 'Yemen', 'id': 'yem', 'name': 'yem'}]",False,True,False,580a64d5-ac66-465a-857b-514a3b06d113,,False,True,2018-07-25T11:25:09.259589,cc-by,,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,23b4c749-bd1b-499c-a8f1-8d76240a534d,teran.javier.ocha@gmail.com,2018-07-24T10:11:12.083951,2019-07-17T08:21:59.631437,Registry,,affected-schools-in-yemen,"This dataset contains the location of affected schools by village, district, and governorate level. Includes number of students by gender, state of damage, school affected status, cause of damage, damage description,  among other variables. ",,2,5,"{'description': 'Education Cluster in Yemen', 'created': '2018-07-24T09:16:01.680357', 'title': 'Education Cluster Yemen', 'name': 'education-cluster-yemen', 'is_organization': True, 'state': 'active', 'image_url': '', 'revision_id': '47ff19bc-984b-470b-aa88-7e9f68417fb4', 'type': 'organization', 'id': '869c999c-d6b4-45d3-821d-e2f0c45beaa7', 'approval_status': 'approved'}",869c999c-d6b4-45d3-821d-e2f0c45beaa7,javier,6,False,,[],[],,e423ac44-704e-492c-a719-1f1e682b86fb,"{""countries"": [""Yemen""]}",active,1,"[{'vocabulary_id': None, 'state': 'active', 'display_name': 'conflict', 'id': '1dae41e5-eacd-4fa5-91df-8d80cf579e53', 'name': 'conflict'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'education', 'id': 'e6579701-d304-494f-bdf9-0195b92f1891', 'name': 'education'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'gender', 'id': '9d9c67f7-694a-4ce6-a279-99bdfe4aa174', 'name': 'gender'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'hxl', 'id': '5f985f56-ee63-40a7-9052-fd53269737ff', 'name': 'hxl'}, {'vocabulary_id': None, 'state': 'active', 'display_name': 'sadd', 'id': '2059aa7b-2ed4-4662-9c0b-c3c72338eeae', 'name': 'sadd'}]",Affected Schools in Yemen,1367,dataset,,,af8d8c24-e947-4472-8c1b-d12cb5647495,http://data.humdata.org/dataset/580a64d5-ac66-465a-857b-514a3b06d113/resource/af8d8c24-e947-4472-8c1b-d12cb5647495/download/affected-schools-update-september-2017.xlsx,2018,XLSX,row labels
